secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix
108105,2023-08-30,SPX 230915C2600000,1,2023-09-15,2023-02-28,C,2600000,1908.5,1924.5,0,8,,,,,,146902973,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1000000,1,2023-09-15,2023-08-30,C,1000000,3504.3,3520.3,119,10056,,,,,,146902959,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1200000,1,2023-09-15,2023-08-24,C,1200000,3304.8,3320.8,0,414,,,,,,146902960,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1400000,1,2023-09-15,,C,1400000,3105.3,3121.3,0,0,,,,,,146902961,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1500000,1,2023-09-15,2023-06-15,C,1500000,3005.6,3021.6,0,9,,,,,,149952083,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1600000,1,2023-09-15,,C,1600000,2905.8,2921.8,0,0,,,,,,146902962,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1700000,1,2023-09-15,2023-08-23,C,1700000,2806.1,2822.1,0,13,,,,,,146902963,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1800000,1,2023-09-15,2023-08-22,C,1800000,2706.4,2722.4,0,2,,,,,,146902964,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C1900000,1,2023-09-15,2023-06-06,C,1900000,2606.6,2622.6,0,9,,,,,,146902965,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C200000,1,2023-09-15,2023-08-30,C,200000,4302.1,4318.1,4,74,,,,,,146902966,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2000000,1,2023-09-15,2023-08-30,C,2000000,2506.9,2522.9,119,10120,,,,,,146902967,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2100000,1,2023-09-15,,C,2100000,2407.2,2423.2,0,0,,,,,,146902968,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2150000,1,2023-09-15,2023-03-07,C,2150000,2357.3,2373.3,0,2,,,,,,150208877,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2200000,1,2023-09-15,2023-05-30,C,2200000,2307.4,2323.4,0,6,,,,,,146902969,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2250000,1,2023-09-15,,C,2250000,2257.6,2273.6,0,0,,,,,,149952084,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2300000,1,2023-09-15,2023-04-05,C,2300000,2207.7,2223.7,0,1,,,,,,146902970,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2350000,1,2023-09-15,,C,2350000,2157.8,2173.8,0,0,,,,,,149466553,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2400000,1,2023-09-15,2023-08-28,C,2400000,2108,2124,0,674,,,,,,146902971,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2450000,1,2023-09-15,2023-05-11,C,2450000,2058.1,2074.1,0,5,,,,,,149348452,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2500000,1,2023-09-15,2023-08-22,C,2500000,2008.2,2024.2,0,242,,,,,,146902972,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2525000,1,2023-09-15,,C,2525000,1983.3,1999.3,0,0,,,,,,150042921,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2550000,1,2023-09-15,,C,2550000,1958.4,1974.4,0,0,,,,,,148821268,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2575000,1,2023-09-15,,C,2575000,1933.4,1949.4,0,0,,,,,,149969770,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2625000,1,2023-09-15,,C,2625000,1883.6,1899.6,0,0,,,,,,149952085,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2650000,1,2023-09-15,2023-06-30,C,2650000,1858.6,1874.6,0,1,,,,,,148821269,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2675000,1,2023-09-15,,C,2675000,1833.7,1849.7,0,0,,,,,,149890964,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2700000,1,2023-09-15,2022-05-26,C,2700000,1808.8,1824.8,0,6,,,,,,146902974,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2725000,1,2023-09-15,,C,2725000,1783.9,1799.8,0,0,,,,,,149816852,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2750000,1,2023-09-15,2023-03-21,C,2750000,1758.9,1774.9,0,1,,,,,,148821270,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2775000,1,2023-09-15,2023-03-17,C,2775000,1734,1750,0,1,,,,,,149407167,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2800000,1,2023-09-15,2023-08-11,C,2800000,1709.1,1725,0,23,,,,,,146902975,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2825000,1,2023-09-15,2022-09-22,C,2825000,1684.1,1700.1,0,20,,,,,,149373943,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2850000,1,2023-09-15,2023-05-25,C,2850000,1659.2,1675.2,0,16,,,,,,148821271,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2875000,1,2023-09-15,2023-06-16,C,2875000,1634.3,1650.2,0,9,,,,,,149348453,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2900000,1,2023-09-15,2023-08-15,C,2900000,1609.3,1625.3,0,38,,,,,,146902976,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2925000,1,2023-09-15,,C,2925000,1584.4,1600.4,0,0,,,,,,148821272,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2950000,1,2023-09-15,2023-08-08,C,2950000,1559.5,1575.5,0,38,,,,,,148821273,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C2975000,1,2023-09-15,2023-04-13,C,2975000,1534.6,1550.5,0,1,,,,,,148821274,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3000000,1,2023-09-15,2023-08-17,C,3000000,1509.6,1525.6,0,752,,,,,,146902977,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3025000,1,2023-09-15,2023-06-01,C,3025000,1484.7,1500.7,0,0,,,,,,148821275,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3050000,1,2023-09-15,,C,3050000,1459.8,1475.8,0,0,,,,,,148821276,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3075000,1,2023-09-15,,C,3075000,1434.9,1450.8,0,0,,,,,,148821277,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3100000,1,2023-09-15,2023-08-02,C,3100000,1409.9,1425.9,0,327,,,,,,146902978,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3125000,1,2023-09-15,,C,3125000,1385,1401,0,0,,,,,,148821278,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3150000,1,2023-09-15,2023-06-15,C,3150000,1360.1,1376.1,0,102,,,,,,146902979,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3175000,1,2023-09-15,2023-06-14,C,3175000,1340.1,1348.2,0,82,,,,,,148821279,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3200000,1,2023-09-15,2023-08-14,C,3200000,1315.3,1323.3,0,596,,,,,,146902980,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3225000,1,2023-09-15,2023-06-14,C,3225000,1290.4,1298.3,0,62,,,,,,148821280,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3250000,1,2023-09-15,2023-06-21,C,3250000,1265.5,1273.4,0,12,,,,,,146902981,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3275000,1,2023-09-15,,C,3275000,1240.6,1248.4,0,0,,,,,,148821281,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3300000,1,2023-09-15,2023-08-21,C,3300000,1215.7,1223.5,0,174,,,,,,146902982,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3325000,1,2023-09-15,2023-01-13,C,3325000,1190.8,1198.5,0,17,,,,,,148821282,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3330000,1,2023-09-15,2023-08-16,C,3330000,1185.8,1193.5,0,1,,,,,,153408660,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3340000,1,2023-09-15,2023-08-16,C,3340000,1175.8,1183.6,0,1,,,,,,153408661,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3350000,1,2023-09-15,2023-03-23,C,3350000,1165.9,1173.7,0,3,,,,,,146902983,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3360000,1,2023-09-15,,C,3360000,1155.9,1163.6,0,0,,,,,,153408662,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3370000,1,2023-09-15,,C,3370000,1145.9,1153.7,0,0,,,,,,153408663,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3375000,1,2023-09-15,2023-05-04,C,3375000,1141,1148.7,0,40,,,,,,146902984,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3380000,1,2023-09-15,2023-05-04,C,3380000,1136,1143.7,0,0,,,,,,153408664,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3390000,1,2023-09-15,,C,3390000,1126,1133.7,0,0,,,,,,153408665,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3400000,1,2023-09-15,2023-07-27,C,3400000,1116.1,1123.8,0,97,,,,,,146902985,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3410000,1,2023-09-15,,C,3410000,1106.1,1113.8,0,0,,,,,,153408666,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3420000,1,2023-09-15,,C,3420000,1096.2,1103.8,0,0,,,,,,153408667,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3425000,1,2023-09-15,2023-03-21,C,3425000,1091.2,1098.8,0,4,,,,,,146902986,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3430000,1,2023-09-15,,C,3430000,1086.2,1093.8,0,0,,,,,,153408668,1,1,100,0,,,,
108105,2023-08-30,SPX 230915C3440000,1,2023-09-15,,C,3440000,1076.3,1083.8,0,0,,,,,,153408669,1,1,100,0,,,,
